,Holiday,Year,Month,Day,Hour,Minute,DofW,Weekend,Normal,Actual,Anomaly,Unit,area
4040,0,2016,1,24,23,0,6,1,4581.261456344375,3410.8929434069178,-1170.3685129374571,GWh,ch
4041,0,2016,1,25,23,0,0,0,4536.296227399584,3359.78066106735,-1176.5155663322334,GWh,ch
4042,0,2016,1,26,23,0,1,0,4490.981660224792,3293.972428052329,-1197.0092321724628,GWh,ch
4043,0,2016,1,27,23,0,2,0,4445.31775482,3223.45634526567,-1221.8614095543303,GWh,ch
4044,0,2016,1,28,23,0,3,0,4399.304511185208,3153.8298718350775,-1245.4746393501305,GWh,ch
4045,0,2016,1,29,23,0,4,0,4352.941929325625,3097.909201798515,-1255.0327275271102,GWh,ch
4046,0,2016,1,30,23,0,5,1,4306.134430037709,3065.143277165925,-1240.9911528717835,GWh,ch
4047,0,2016,1,31,23,0,6,1,4257.108043303959,3236.8760774531297,-1020.231965850829,GWh,ch
4048,0,2016,2,1,23,0,0,0,4206.101031721041,3214.8240385045606,-991.2769932164806,GWh,ch
4049,0,2016,2,2,23,0,1,0,4154.759658718124,3185.627841150228,-969.1318175678962,GWh,ch
4050,0,2016,2,3,23,0,2,0,4103.083924300417,3147.9100096409907,-955.1739146594259,GWh,ch
4051,0,2016,2,4,23,0,3,0,4051.0738284675003,3109.527516230113,-941.5463122373872,GWh,ch
4052,0,2016,2,5,23,0,4,0,3998.7293712145834,3082.774918599697,-915.9544526148866,GWh,ch
4053,0,2016,2,6,23,0,5,1,3946.0505525416665,3065.6220389501646,-880.428513591502,GWh,ch
4054,0,2016,2,7,23,0,6,1,3893.0373724487504,3055.4705681015857,-837.5668043471646,GWh,ch
4055,0,2016,2,8,23,0,0,0,3839.6898309358335,3016.205677377946,-823.4841535578876,GWh,ch
4056,0,2016,2,9,23,0,1,0,3786.0079280029167,2995.701492473434,-790.3064355294828,GWh,ch
4057,0,2016,2,10,23,0,2,0,3731.9916636552084,2972.1330664740162,-759.8585971811922,GWh,ch
4058,0,2016,2,11,23,0,3,0,3677.6410378922915,2949.1822687872123,-728.4587691050792,GWh,ch
4059,0,2016,2,12,23,0,4,0,3622.956050709375,2928.988120170487,-693.9679305388881,GWh,ch
